Name,City,State,Website
Alpine Country Club,Round Lake,IL,http://alpinecountryclub.net/index.html
Arrowhead Country Club,Edelstein,IL,https://arrowheadcc.golf/home
Aurora Country Club,Aurora,IL,https://www.acccountryclub.com/
Barrington Hills Country Club,Barrington,IL,https://www.barringtonhillscc.com/
Beverly Country Club,Chicago,IL,https://www.beverlycc.org/
Biltmore Country Club,North Barrington,IL,https://www.biltmore-cc.com/
Bloomington Country Club,Bloomington,IL,https://www.bloomcc.com/
Boulder Ridge Country Club,Lake In The Hills,IL,https://www.boulderridge.com/
Bowes Creek Country Club,Elgin,IL,http://bowescreekcc.com
Briarwood Country Club,Deerfield,IL,https://www.briarwoodcountryclub.com/
Bryn Mawr Country Club,Lincolnwood,IL,https://www.brynmawrcountryclub.com/
Butterfield Country Club,Oak Brook,IL,https://www.butterfieldcc.org/
Cary Country Club,Cary,IL,https://www.carycountryclub.com
Champaign Country Club,Champaign,IL,https://champaigncountryclub.com
Charleston Country Club,Charleston,IL,https://www.charlestoncountryclub.org/
Chester Country Club,Chester,IL,http://www.chestercountryclub.com
Chevy Chase Country Club,Wheeling,IL,http://www.chevychasecountryclub.com/
Cog Hill Golf & Country Club,Lemont,IL,https://www.coghillgolf.com/
Country Club Of Decatur,Decatur,IL,https://www.ccofdecatur.com/
Country Club Of Peoria,Peoria Heights,IL,http://ccofpeoria.org/
Cress Creek Country Club,Naperville,IL,http://www.cresscreekcc.com/
Crestwicke Country Club,Bloomington,IL,https://www.crestwicke.com/
Crystal Lake Country Club,Crystal Lake,IL,https://www.clcountryclub.com/
Crystal Tree Golf-Country Club,Orland Park,IL,http://www.crystaltreecc.org
Danville Country Club,Danville,IL,http://www.golfdanvillecc.com/
Dwight Country Club,Dwight,IL,http://dwightcountryclub.com/
Eagle Brook Country Club,Geneva,IL,https://www.eaglebrookclub.com/
Edgewood Valley Country Club,La Grange,IL,https://edgewoodvalleycc.com/
Effingham Country Club,Effingham,IL,https://www.effinghamcc.com/
Elgin Country Club,Elgin,IL,https://www.elgincc.com/
Exmoor Country Club,Highland Park,IL,https://www.exmoorcountryclub.org/
Flossmoor Country Club,Flossmoor,IL,http://www.flossmoorcc.org/
Forest Hills Country Club,Rockford,IL,http://fhcc1921.com/
Fox Valley Country Club,North Aurora,IL,https://www.foxvalleycountryclub.com
Franklin County Country Club,West Frankfort,IL,http://franklincountycc.com
Freeport Country Club,Freeport,IL,http://freeportclub.com/
Fulton Country Club,Fulton,IL,http://www.fultonccgolf.com/
Glen Flora Country Club,Waukegan,IL,http://www.glenfloracc.com/
Glen Oak Country Club,Glen Ellyn,IL,https://www.glenoakcountryclub.org
Gleneagles Country Club,Lemont,IL,https://www.golfgleneagles.com/
Green Garden Country Club,Frankfort,IL,https://www.greengardencc.com/
Grove Country Club,Long Grove,IL,http://thegrovecc.com/
